,id,places,theme,cluster,score
0,1,"[602, 10, 58, 29]","[0.25, 0.25, 0.5, 0.0, 0.25, 0.0, 0.25, 0.5, 0.75, 0.25, 0.0, 0.0, 0.75, 0.25, 0.25, 0.5, 0.25, 0.0, 0.75, 0.25, 0.0, 0.0]",10,167322
1,2,"[58, 37, 10, 19, 602, 60, 29]","[0.14285714285714285, 0.14285714285714285, 0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.0, 0.14285714285714285, 0.7142857142857143, 0.7142857142857143, 0.2857142857142857, 0.0, 0.14285714285714285, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.0, 0.5714285714285714, 0.42857142857142855, 0.0, 0.0]",7,163116
2,3,"[58, 10, 19, 602, 29]","[0.2, 0.2, 0.6, 0.0, 0.2, 0.0, 0.2, 0.6, 0.8, 0.2, 0.0, 0.0, 0.6, 0.4, 0.4, 0.4, 0.2, 0.0, 0.8, 0.2, 0.0, 0.0]",6,178099
3,141,"[1, 7, 8, 48, 22, 215]","[0.16666666666666666, 0.0, 0.5, 0.3333333333333333, 0.0, 0.16666666666666666, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.3333333333333333, 0.0, 0.0]",5,424938
4,156,"[1, 8, 174, 60, 184, 28, 223]","[0.0, 0.0, 0.5714285714285714, 0.42857142857142855, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857, 0.2857142857142857, 0.0, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0]",2,302233
5,216,"[2, 67, 3, 5, 4, 9, 60, 15, 16, 49, 270, 22, 28]","[0.0, 0.0, 0.3076923076923077, 0.6923076923076923, 0.0, 0.07692307692307693, 0.0, 0.9230769230769231, 0.46153846153846156, 0.23076923076923078, 0.3076923076923077, 0.3076923076923077, 0.46153846153846156, 0.23076923076923078, 0.6923076923076923, 0.23076923076923078, 0.0, 0.07692307692307693, 0.6153846153846154, 0.38461538461538464, 0.0, 0.0]",9,420002
6,4,"[202, 58, 37]","[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 1.0, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.0, 0.0]",11,96780
7,343,"[112, 9, 18, 20]","[0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 1.0, 0.75, 0.0, 0.25, 0.0, 1.0, 0.0, 0.5, 0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",5,230029
8,3227,"[2, 165, 8, 10, 76, 16, 49, 310, 23]","[0.0, 0.0, 0.4444444444444444, 0.5555555555555556, 0.0, 0.0, 0.1111111111111111, 0.8888888888888888, 0.5555555555555556, 0.3333333333333333, 0.1111111111111111, 0.0, 0.2222222222222222, 0.7777777777777778, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.7777777777777778, 0.2222222222222222, 0.0, 0.0]",2,308804
9,3228,"[32, 3, 38, 6, 8, 9, 270, 15, 80, 16, 20, 22, 86, 28]","[0.07142857142857142, 0.07142857142857142, 0.35714285714285715, 0.5, 0.07142857142857142, 0.14285714285714285, 0.14285714285714285, 0.6428571428571429, 0.5714285714285714, 0.2857142857142857, 0.14285714285714285, 0.21428571428571427, 0.5, 0.2857142857142857, 0.5, 0.35714285714285715, 0.07142857142857142, 0.07142857142857142, 0.7142857142857143, 0.2857142857142857, 0.0, 0.0]",11,294152
